,model,primaryCategory.categoryId,Unnamed: 0,JP_shortTitle,itemId,currentPrice,TotalCounts
132,Nikon 1 J1,31388,48.5,,113848556346.0,73.0,158.0
133,Nikon 135mm f2.8 E,3323,36.0,,254330132289.0,179.9,12.0
134,Nikon 28Ti,15230,37.0,,264252963250.0,900.0,23.0
135,Nikon 35 Ti,15230,45.0,,153498216014.0,999.99,79.0
136,Nikon 35Ti,15230,27.25,,241125909456.5,654.9175,68.0
137,Nikon 72mm L39,15216,20.0,,173935087158.0,38.99,5.0
138,Nikon 8x30  8.3° WF Criterion Multi-Coated Green C,83880,9.0,,254319206634.0,205.99,0.0
139,Nikon AD3,15230,65.5,,254272997247.0,59.9,20.0
140,Nikon AF NIKKOR,3323,55.0,,143376448517.5,208.95,8389.5
141,Nikon AF NIKKOR 105mm f/2.8 D Micro Lens,3323,12.0,,392408333939.0,111.0,113.0
142,Nikon AF NIKKOR 180mm F2.8 IF ED,3323,73.0,,352778691273.0,369.0,15.0
143,Nikon AF NIKKOR 28-80mm f/3.5-5.6D,3323,0.0,,362717023134.0,22.0,31.0
144,Nikon AF NIKKOR 28-80mm f3.5-5.6 D,3323,57.0,,323858895248.0,45.99,42.0
145,Nikon AF NIKKOR 35-70mm F/2.8,3323,11.0,,113835101414.0,98.0,137.0
146,Nikon AF NIKKOR 50mm f/1.4,3323,65.0,,293202174359.0,139.99,265.0
147,Nikon AF NIKKOR 50mm f/1.4 D,3323,64.66666666666667,,286807175504.3333,173.32333333333335,125.0
148,Nikon AF NIKKOR 50mm f1.4,3323,46.0,,193090295884.0,85.0,265.0
149,Nikon AF Nikkor,3323,68.5,,195627599993.75,77.7425,8387.25
150,Nikon AF Nikkor 20mm f/2.8,3323,80.0,,153642892747.0,229.99,66.0
151,Nikon AF Nikkor 24mm F/2.8 D,3323,10.0,,392512687884.0,192.495,46.0
152,Nikon AF Nikkor 24mm f/2.8,3323,26.0,,283603650824.0,159.99,148.0
153,Nikon AF Nikkor 28-105mm F/3.5-4.5 D Macro,3323,70.0,,173847862055.0,114.99,27.0
154,Nikon AF Nikkor 28-85mm f/3.5-4.5,3323,60.0,,193036814696.0,54.99,74.0
155,Nikon AF Nikkor 28mm f/2.8,3323,47.0,,392358444732.0,79.99,57.0
156,Nikon AF Nikkor 300mm f/4 IF ED,3323,59.0,,283603475163.0,305.15,87.0
157,Nikon AF Nikkor 35-135mm f/3.5-4.5,3323,72.5,,163833111980.0,35.1,43.0
158,Nikon AF Nikkor 35-70mm F/2.8,3323,73.0,,401871487177.0,84.0,137.0
