,model
485,Nikon Ai-S Zoom Nikkor 35-70mm F/3.5-4.5
486,Nikon AF Nikkor 80-200mm f2.8 D
487,Nikon Nikkor W 105mm F5.6 S
488,NIKON Micro-NIKKOR 55mm F/3.5
489,Nikon DX AF-S Nikkor
490,AF MICRO NIKKOR 105mm F/2.8
491,NIKON  NIKKOR
492,NIkon Ai
493,Nikon NIKKOR W
494,Nikon Ai NIKKOR 35mm f/2
495,NIKON AIS NIKKOR 50mm F/1.4
496,Nikonos IV-A
497,Nikon Ai Micro NIKKOR 105mm f/4
498,Nikon Ai Nikkor 20mm f/3.5
499,Ai Nikkor
500,Nikon AF MICRO NIKKOR 200mm f/4 D ED
501,Nikkor Q Auto 200mm F/4
502,Nikon Ai Converted Nikkor 50mm F1.4
503,Nikon NIKKOR Ai 50mm f/1.4
504,Nikon NIKKOR 35mm f2 Ai-S
505,NIKON Reflex Nikkor 1000mm F/11
506,Nikon Nikkor-S.C Auto 50mm F/1.4 non Ai
507,Nikkor-W 210mm f/5.6
508,Nikkor 50mm f1.4 Non Ai
509,Nikkor AI-S 85mm f/1.4
510,Nikon Nikkor AF-S 18-55mm
511,Nikon AC UNIT LA-2 with Medical-NIKKOR 120㎜ F4 Len
512,Nikon Ai-s Nikkor 135mm f/2.8
513,Nikon NIKKOR AIS Nikkor 20mm f/2.8
514,Nikon NIKKOR Ai 20mm f/4
515,Nikkor-O Auto 35mm F2
516,Nikon Nikkor-P Auto 105mm f/2.5
517,Zenza Bronica S2A Late Model Black
518,EL Nikkor 105mm f/5.6
519,Nikon Nikkor-P.C Auto
520,Nikon NIKKOR-P.C Auto 105mm f/2.5
521,Nikon AF Nikkor 70-210mm f/4
522,Nikon AF NIKKOR 85mm f/1.8
523,Nikon EL-Nikkor
524,AF Nikkor  28-80mm f3.5-5.6G
525,Nikon PC-Nikkor 35mm F2.8
526,AF Nikkor 35-70mm f/2.8
527,Nikon AF Nikkor 35-70mm F/2.8
528,Nikon Nikkor 50mm F1.4
529,Micro-Nikkor
530,AF Nikkor 70-210mm F4
531,Nikon Nikkor Ai 200mm f/4
532,Nikon Nikkor N Auto
533,nikon F3AF-S NIKKOR 300mm F/4D
534,Nikon Ai Nikkor 35-70mm f/3.5
535,Nikon NIKKOR Ai-s 50mm f/1.4
536,Nikkor-SW 120mm f/8 S
537,Nikon Nikkor 24mm F2.8
538,NIKON AI NIKKOR 35ｍｍ F2.8
539,Nikon Ai-S Nikkor 20mm F2.8
540,Nikon Nikkor AI
541,Nikon Ai Nikkor 50mm F1.4
542,Nikon EL-Nikkor 63mm f/2.8
543,NIKON Ai Nikkor
544,Nikon AS-F DX NIKKOR
545,Nikon AF NIKKOR 24-120mm F3.5-5.6 D IF
546,NIKONOS ?-A
547,Nikon AI-S Nikkor 105mm f2.5
548,Nikon AF-S DX NIKKOR 18-200mm F3.5-5.6 G ED VR
549,NIKON ZOOM NIKKOR 35-135mm F3.5-4.5
550,Nikon AF NIKKOR 80-200mm F2.8
551,Micro-NIKKOR-P C Auto 55mm f/3.5
552,Nikkor Ai 50 1.4
553,Nikkor Ai 50mm f1.4
554,Nikkor Ai-S AIS 105mm f/2.5
555,Nikon R8 SUPER
556,Ai-s NIKKOR 28mm F/2.8
557,Nikon new nikkor
558,NIKKOR  H 5cm  F2 Nikon S Mount
559,Nikon Ai-s Nikkor 50mm f1.4
560,NIKON UW-NIKKOR 20MM F/2.8
561,Nikon UW-NIKKOR 20mm F/2.8
562,Nikon AF Nikkor 300mm f/4 ED Telephoto Lens
563,Nikon AF Nikkor 70-210mm F/4-5.6
564,Nikon Ai-S Nikkor 135mm f/2.8
565,NIKON NIKKOR 135mm f/2.8 Ai
566,Nikkor 50mm f/1.4 Ai
567,Nikon NIKKOR SW 90mm F4.5
568,Nikon Nikkor Ai 24mm f/2.8
569,NIKKOR-Q Auto 135mm f/3.5
570,Nikkor 35-70mm F/2.8
571,Ai-s Nikkor 35-70mm f/3.5
572,Nikon Nikkor 135mm F2.8 Ai
573,AF NIKKOR 70-300mm f/4-5.6 D ED Zoom
574,Nikon D7000
575,Nikon Nikkor Ai-s 85mm f/1.4
576,Nikon Ai Nikkor 85mm f/2
577,Nikkor Ai-S 300mm f4.5
578,Nikon AF NIKKOR 24-50mm f/3.3-4.5
579,Nikon New FM2
580,Nikon Ai NIKKOR
581,Nikkor AI-S 135mm f/2.8
582,Nikkor SW 75mm f/4.5
583,Ai Nikkor 105mm F2.5S
584,Nikon AF NIKKOR 85mm 1:1.4D
585,TC-200
586,Nikkor S Auto 5.8cm f/1.4
587,Nikkor Non-Ai 50mm f1.4
588,Nikon Nikkor 35mm F/2.8
589,Ai Nikkor 28mm f2.8
590,Nikon AF NIKKOR 55mm f/2.8 Micro
591,NIKON AI NIKKOR 135mm F/2.8
592,Nikon AF-S Nikkor 24-120mm F/3.5-5.6 G IF ED VR
593,Nikon Ai 135mm f2.8
594,Nikon UW Nikkor 20mm f/2.8
595,Nikon FM
596,NIKKOR-H 200mm F/4
597,Nikon NIKKOR-H Auto 28mm F3.5
598,Nikon Zoom NIKKOR Ai-S 200-600mm F9.5
599,Ai NIKKOR 28mm f/2.8
600,Nikon AF Micro Nikkor D
601,Nikkor AI-S AIS 105mm f/2.5
602,EC-TL
603,Nikon Ai Converted Nikkor
604,Medical Nikkor 120mm f/4 IF
605,Nikkor W 105mm f/5.6 S
606,Nikkor AI 24mm f/2
607,Nikon Zoom NIKKOR 35-70mm F/3.5-4.8 Series
608,Nikon Ai-s Nikkor 105mm f/2.5
609,Nikon NIKKOR 35mm f/2.8 Ai
610,Nikon ZOOM-NIKKOR 50-135mm f/3.5
611,Nikon AF Micro-NIKKOR 60mm f/2.8
612,Nikon Zoom-NIKKOR 28-200mm F/3.5-5.6 D IF AF
613,Nikon Nikkor-S Auto 55mm F/1.2
614,Nikkor Ai 105mm f/2.5
615,Nikkor AI-S 50mm f/1.2
616,Makina 67
617,NIKON AF-S VR NIKKOR ED 70-200mm f/2.8G IF
618,NIKON Photomic F2 DP-1
619,Nikon Ai-s Zoom NIkkor 35-70mm F/3.5
620,Nikon Ai Nikkor 28mm f/3.5
621,AF Micro Nikkor 60mm f/2.8 D
622,Nikon Nikkor Ai-s 5omm f/1.8
623,Nikon Nikkor-P Auto 105mm F2.5
624,HS-11
625,Nikon NIKKOR-UD 20mm f/3.5
626,Nikon EL-NIKKOR f=50mm F4
627,AFNikkor
628,AF-S NIKKOR 300mm 1:4 D
629,EL-NIKKOR F/4 50mm
630,AF Nikkor 24-50mm f3.3-4.5
